image_id,method,dataset,iou,dice,precision,recall,f1,protocol
crackforest_0000,text,crackforest,0.4116761962082456,0.5832445107652953,0.4150485436893203,0.9806451612903224,0.5832445107652952,automatic_text_prompt
crackforest_0001,text,crackforest,0.4291808873720136,0.6005970149253731,0.4370112945264987,0.9599236641221374,0.6005970149253731,automatic_text_prompt
crackforest_0002,text,crackforest,0.5943698016634676,0.7455858747993579,0.6203672787979967,0.9341377576671694,0.7455858747993579,automatic_text_prompt
crackforest_0003,text,crackforest,0.3735195870027331,0.5438868007959319,0.3831775700934579,0.9367859862909368,0.5438868007959319,automatic_text_prompt
crackforest_0004,text,crackforest,0.5346710995013061,0.69678916827853,0.5681302043906131,0.9007801560312062,0.69678916827853,automatic_text_prompt
crackforest_0005,text,crackforest,0.4243343444556791,0.5958353052531945,0.4480427046263345,0.8891242937853108,0.5958353052531945,automatic_text_prompt
crackforest_0006,text,crackforest,0.645691699604743,0.784705543279854,0.6741498844503137,0.9386347965984831,0.7847055432798539,automatic_text_prompt
crackforest_0007,text,crackforest,0.4786018373291508,0.6473708137596605,0.5122302158273381,0.8793742280773981,0.6473708137596605,automatic_text_prompt
crackforest_0008,text,crackforest,0.4417194819509507,0.6127675840978594,0.4614941701453865,0.9115723628092124,0.6127675840978594,automatic_text_prompt
crackforest_0009,text,crackforest,0.4153024911032028,0.5868745285390998,0.4288864388092613,0.929140127388535,0.5868745285390998,automatic_text_prompt
crackforest_0010,text,crackforest,0.5256138223704153,0.6890522551162329,0.5415365396627108,0.9470234844347352,0.6890522551162328,automatic_text_prompt
crackforest_0011,text,crackforest,0.497077922077922,0.6640641943179354,0.5061157024793388,0.9653215636822194,0.6640641943179353,automatic_text_prompt
crackforest_0012,text,crackforest,0.4076254180602007,0.5791674586580497,0.4195813825392454,0.9346625766871166,0.5791674586580497,automatic_text_prompt
crackforest_0013,text,crackforest,0.362610797743755,0.5322294500295683,0.3821115199547127,0.8766233766233766,0.5322294500295682,automatic_text_prompt
crackforest_0014,text,crackforest,0.5549420209828824,0.7137784090909091,0.5882352941176471,0.90744920993228,0.7137784090909092,automatic_text_prompt
crackforest_0015,text,crackforest,0.451003086419753,0.6216431800053177,0.4698553054662379,0.9183032207384132,0.6216431800053177,automatic_text_prompt
crackforest_0016,text,crackforest,0.2451178451178451,0.3937263385613845,0.2492960961875047,0.936,0.3937263385613845,automatic_text_prompt
crackforest_0017,text,crackforest,0.3203809523809524,0.4852856318522793,0.3234615384615384,0.9711316397228638,0.4852856318522793,automatic_text_prompt
crackforest_0018,text,crackforest,0.5744031093836758,0.729677305589843,0.5879511224779767,0.9614312267657992,0.729677305589843,automatic_text_prompt
crackforest_0019,text,crackforest,0.3636756756756756,0.5333756143967021,0.3752788933511825,0.9216438356164384,0.5333756143967021,automatic_text_prompt
crackforest_0020,text,crackforest,0.3365707881957415,0.5036333147009503,0.3480108149864813,0.911021233569262,0.5036333147009503,automatic_text_prompt
crackforest_0021,text,crackforest,0.4334423845874227,0.6047573160217071,0.4737762237762238,0.8358334501612225,0.6047573160217072,automatic_text_prompt
crackforest_0022,text,crackforest,0.2521088957055215,0.4026948399938753,0.2635270541082164,0.8533419857235561,0.4026948399938754,automatic_text_prompt
crackforest_0023,text,crackforest,0.3781512605042016,0.5487804878048781,0.382761553728381,0.9691313711414212,0.5487804878048781,automatic_text_prompt
crackforest_0000,box,crackforest,0.4160470879801735,0.5876175891489828,0.4228589420654912,0.9627240143369176,0.5876175891489828,oracle_gt_prompt
crackforest_0001,box,crackforest,0.4404936820452542,0.6115871073031416,0.4501501501501501,0.9535623409669212,0.6115871073031416,oracle_gt_prompt
crackforest_0002,box,crackforest,0.6196938065414057,0.7651987110633727,0.6680420105026257,0.8954248366013072,0.7651987110633728,oracle_gt_prompt
crackforest_0003,box,crackforest,0.4179157744468237,0.5894789831361691,0.4402255639097744,0.8918507235338918,0.5894789831361692,oracle_gt_prompt
crackforest_0004,box,crackforest,0.0109064437713676,0.0215775531723375,0.0115299517638489,0.1678335667133426,0.0215775531723375,oracle_gt_prompt
crackforest_0005,box,crackforest,0.4173148461278322,0.5888809353376282,0.4446846846846847,0.8714689265536724,0.5888809353376282,oracle_gt_prompt
crackforest_0006,box,crackforest,0.0400312744331508,0.0769809051270485,0.0411847037436252,0.5883704895426338,0.0769809051270485,oracle_gt_prompt
crackforest_0007,box,crackforest,0.0171542833087771,0.0337299534402483,0.0174119720660693,0.53684643886373,0.0337299534402483,oracle_gt_prompt
crackforest_0008,box,crackforest,0.3598351001177856,0.5292334343871806,0.3805430991529646,0.8686380437873188,0.5292334343871806,oracle_gt_prompt
crackforest_0009,box,crackforest,0.4206921413121846,0.5922354732301446,0.4346368715083799,0.929140127388535,0.5922354732301447,oracle_gt_prompt
crackforest_0010,box,crackforest,0.5266217870257038,0.6899178192022449,0.5449651678277391,0.9399235390496996,0.6899178192022449,oracle_gt_prompt
crackforest_0011,box,crackforest,0.5095798319327731,0.6751280338454687,0.5218588640275387,0.9558638083228248,0.6751280338454687,oracle_gt_prompt
crackforest_0012,box,crackforest,0.2442624426244262,0.3926220614828209,0.2568859441552295,0.8325153374233129,0.3926220614828209,oracle_gt_prompt
crackforest_0013,box,crackforest,0.3713325183374083,0.541564519723646,0.4122836783169324,0.788961038961039,0.5415645197236462,oracle_gt_prompt
crackforest_0014,box,crackforest,0.5513499205929063,0.7108002047432179,0.5713110257816786,0.9404063205417608,0.7108002047432179,oracle_gt_prompt
crackforest_0015,box,crackforest,0.457421875,0.6277137496649692,0.4764035801464605,0.91987431264729,0.6277137496649693,oracle_gt_prompt
crackforest_0016,box,crackforest,0.0038261632770608,0.0076231591027077,0.0040029843037102,0.0797142857142857,0.0076231591027077,oracle_gt_prompt
crackforest_0017,box,crackforest,0.3216995447647951,0.4867967853042479,0.3239113827349121,0.979214780600462,0.486796785304248,oracle_gt_prompt
crackforest_0018,box,crackforest,0.6555842479018722,0.7919672450770131,0.6822304333221364,0.9437732342007435,0.7919672450770131,oracle_gt_prompt
crackforest_0019,box,crackforest,0.3681602757432141,0.5381829633128641,0.3775961113566062,0.9364383561643836,0.5381829633128641,oracle_gt_prompt
crackforest_0020,box,crackforest,0.3286307053941908,0.4946908182386009,0.3578852236782648,0.8008088978766431,0.4946908182386009,oracle_gt_prompt
crackforest_0021,box,crackforest,0.0468126301271765,0.0894384129115623,0.0468353002832673,0.989765876910136,0.0894384129115623,oracle_gt_prompt
crackforest_0022,box,crackforest,0.3209777061509535,0.4859699064660431,0.3538643766656796,0.7754704737183648,0.4859699064660431,oracle_gt_prompt
crackforest_0023,box,crackforest,0.3865979381443299,0.5576208178438662,0.391417802261525,0.9691313711414212,0.5576208178438661,oracle_gt_prompt
crackforest_0000,point,crackforest,0.358880460371436,0.5282001924927815,0.3610526315789473,0.9835125448028674,0.5282001924927815,oracle_gt_prompt
crackforest_0001,point,crackforest,0.3887629125724364,0.5598693759071117,0.3916243654822335,0.9815521628498728,0.5598693759071118,oracle_gt_prompt
crackforest_0002,point,crackforest,0.5692930551230146,0.7255407819011709,0.599344262295082,0.9190548014077424,0.7255407819011709,oracle_gt_prompt
crackforest_0003,point,crackforest,0.3556124080588423,0.5246520405756074,0.380041011619959,0.8469154607768469,0.5246520405756074,oracle_gt_prompt
crackforest_0004,point,crackforest,0.0965568125922282,0.1761090925402592,0.1135075748814617,0.3926785357071414,0.1761090925402592,oracle_gt_prompt
crackforest_0005,point,crackforest,0.3894552869210603,0.5605870020964361,0.3986285032796661,0.9442090395480226,0.5605870020964362,oracle_gt_prompt
crackforest_0006,point,crackforest,0.0,0.0,0.0,0.0,0.0,oracle_gt_prompt
crackforest_0007,point,crackforest,0.3393375944218477,0.5067245119305857,0.5355341586428244,0.4808563194730341,0.5067245119305855,oracle_gt_prompt
crackforest_0008,point,crackforest,0.0229027025970726,0.0447798261534052,0.0229028517828528,0.9997156667614444,0.0447798261534053,oracle_gt_prompt
crackforest_0009,point,crackforest,0.3589595375722543,0.528285835814547,0.3604178757980267,0.9888535031847132,0.528285835814547,oracle_gt_prompt
crackforest_0010,point,crackforest,0.4472386587771203,0.6180579216354344,0.4491210695716761,0.9907154560349536,0.6180579216354344,oracle_gt_prompt
crackforest_0011,point,crackforest,0.4568195354377605,0.6271463614063778,0.4640048396854204,0.9672131147540984,0.6271463614063778,oracle_gt_prompt
crackforest_0012,point,crackforest,0.3345467152019414,0.5013638134822704,0.4347826086956521,0.5920245398773006,0.5013638134822704,oracle_gt_prompt
crackforest_0013,point,crackforest,0.0100773469093954,0.0199536143251402,0.0100773469093954,1.0,0.0199536143251402,oracle_gt_prompt
crackforest_0014,point,crackforest,0.5669708566382102,0.7236520758970505,0.6196911196911197,0.8695259593679459,0.7236520758970505,oracle_gt_prompt
crackforest_0015,point,crackforest,0.3797739077299114,0.5504871567759079,0.3832870798643231,0.97643362136685,0.5504871567759079,oracle_gt_prompt
crackforest_0016,point,crackforest,0.2135258358662614,0.3519098309329994,0.6529821843532145,0.2408571428571428,0.3519098309329993,oracle_gt_prompt
crackforest_0017,point,crackforest,0.3387197016780609,0.5060352831940576,0.3456659619450317,0.9439953810623556,0.5060352831940576,oracle_gt_prompt
crackforest_0018,point,crackforest,0.4504409911801764,0.62110901983495,0.4511041009463722,0.9967472118959108,0.6211090198349501,oracle_gt_prompt
crackforest_0019,point,crackforest,0.4209770114942529,0.5925176946410515,0.4278413239230956,0.9632876712328768,0.5925176946410516,oracle_gt_prompt
crackforest_0020,point,crackforest,0.3200712589073634,0.4849302744039586,0.4367909238249595,0.544994944388271,0.4849302744039586,oracle_gt_prompt
crackforest_0021,point,crackforest,0.0573964674483461,0.1085618672187402,0.0680460750853242,0.2683302958082153,0.1085618672187402,oracle_gt_prompt
crackforest_0022,point,crackforest,0.0101207258006217,0.0200386459600658,0.0101207923134553,0.99935107073329,0.0200386459600658,oracle_gt_prompt
crackforest_0023,point,crackforest,0.3469334719334719,0.5151456685317384,0.3522427440633245,0.9583632447954056,0.5151456685317384,oracle_gt_prompt
crackforest_0000,ampf,crackforest,0.4173450219160927,0.5889109785730064,0.4256066411238825,0.9555555555555556,0.5889109785730064,oracle_gt_prompt_gt_alignment
crackforest_0001,ampf,crackforest,0.4357122219011846,0.6069631716643188,0.4439211068589932,0.9592875318066156,0.6069631716643187,oracle_gt_prompt_gt_alignment
crackforest_0002,ampf,crackforest,0.6123481781376519,0.7595731324544884,0.6505376344086021,0.9125188536953244,0.7595731324544883,oracle_gt_prompt_gt_alignment
crackforest_0003,ampf,crackforest,0.3980679546968687,0.569454372170598,0.4143550624133148,0.91012947448591,0.569454372170598,oracle_gt_prompt_gt_alignment
crackforest_0004,ampf,crackforest,0.1745283018867924,0.2971887550200803,0.5794663573085846,0.1998399679935987,0.2971887550200803,oracle_gt_prompt_gt_alignment
crackforest_0005,ampf,crackforest,0.4206827309236948,0.592226148409894,0.4443266171792153,0.8877118644067796,0.5922261484098941,oracle_gt_prompt_gt_alignment
crackforest_0006,ampf,crackforest,0.4576432514753474,0.6279221627269166,0.7271627344222625,0.5525166628361297,0.6279221627269166,oracle_gt_prompt_gt_alignment
crackforest_0007,ampf,crackforest,0.3304322599361763,0.4967291757522896,0.5280482151135837,0.468917249897077,0.4967291757522895,oracle_gt_prompt_gt_alignment
crackforest_0008,ampf,crackforest,0.6221579164944192,0.7670744138634047,0.6949896097898869,0.8558430480523174,0.7670744138634048,oracle_gt_prompt_gt_alignment
crackforest_0009,ampf,crackforest,0.4212996389891696,0.5928371856743714,0.4352853412905632,0.929140127388535,0.5928371856743714,oracle_gt_prompt_gt_alignment
crackforest_0010,ampf,crackforest,0.5513928914505284,0.7108359133126935,0.5713337757133378,0.9404696886947024,0.7108359133126936,oracle_gt_prompt_gt_alignment
crackforest_0011,ampf,crackforest,0.5122606650990931,0.6774766770324301,0.5229766803840878,0.9615384615384616,0.6774766770324302,oracle_gt_prompt_gt_alignment
crackforest_0012,ampf,crackforest,0.3510466988727858,0.5196662693682956,0.4572360755068748,0.601840490797546,0.5196662693682956,oracle_gt_prompt_gt_alignment
crackforest_0013,ampf,crackforest,0.3756168359941945,0.5461067735809243,0.4045014066895905,0.8402597402597403,0.5461067735809243,oracle_gt_prompt_gt_alignment
crackforest_0014,ampf,crackforest,0.5653021442495126,0.7222914072229141,0.5960070463887258,0.9164785553047404,0.7222914072229142,oracle_gt_prompt_gt_alignment
crackforest_0015,ampf,crackforest,0.4505579068872643,0.6212201591511937,0.4689627553063676,0.91987431264729,0.6212201591511938,oracle_gt_prompt_gt_alignment
crackforest_0016,ampf,crackforest,0.2098452169500126,0.3468959731543624,0.6522082018927445,0.2362857142857143,0.3468959731543624,oracle_gt_prompt_gt_alignment
crackforest_0017,ampf,crackforest,0.3310506750146742,0.4974276054681758,0.3336619996056004,0.976905311778291,0.4974276054681758,oracle_gt_prompt_gt_alignment
crackforest_0018,ampf,crackforest,0.6213942307692307,0.7664936990363233,0.6374845869297164,0.9609665427509294,0.7664936990363233,oracle_gt_prompt_gt_alignment
crackforest_0019,ampf,crackforest,0.4864324478720365,0.6544965411222137,0.5039952648712637,0.9331506849315068,0.6544965411222137,oracle_gt_prompt_gt_alignment
crackforest_0020,ampf,crackforest,0.3712801133679735,0.5415087840165346,0.4106583072100313,0.7947421638018201,0.5415087840165346,oracle_gt_prompt_gt_alignment
crackforest_0021,ampf,crackforest,0.1294073044357386,0.2291596732684346,0.5676274944567627,0.143558110192065,0.2291596732684345,oracle_gt_prompt_gt_alignment
crackforest_0022,ampf,crackforest,0.3178861788617886,0.4824182603331277,0.3531005418422637,0.7611940298507462,0.4824182603331277,oracle_gt_prompt_gt_alignment
crackforest_0023,ampf,crackforest,0.3834522111269615,0.5543411012579913,0.3888888888888889,0.964824120603015,0.5543411012579913,oracle_gt_prompt_gt_alignment
