image_id,method,dataset,protocol,iou,dice,precision,recall,f1
deepcrack_0033,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7822859970311727,0.8778456413103831,0.8116016427104723,0.9558645707376058,0.8778456413103831
deepcrack_0034,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7355230386052304,0.8476096510897838,0.7557581573896354,0.9648764549724321,0.8476096510897838
deepcrack_0035,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6050632911392405,0.7539432176656151,0.6954413191076625,0.8231917336394948,0.7539432176656152
deepcrack_0036,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5666158794650414,0.7233628701102226,1.0,0.5666158794650414,0.7233628701102226
deepcrack_0037,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.26903749516814845,0.4240024367956138,0.9840701291356395,0.27021430789936846,0.4240024367956138
deepcrack_0038,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.4509074680154716,0.6215523428688609,0.9936076053106048,0.45221932114882507,0.6215523428688609
deepcrack_0039,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.15733534390504914,0.27189240306819373,0.7996291718170581,0.16379288517533866,0.27189240306819373
deepcrack_0040,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6784460566346829,0.8084216397099833,0.7302267002518892,0.905371642723298,0.8084216397099833
deepcrack_0041,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5907865027596588,0.7427602657361957,0.9672434153103661,0.602848,0.7427602657361956
deepcrack_0042,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.3855389854391733,0.556518422781109,0.9315505745495815,0.3967793588930179,0.556518422781109
deepcrack_0043,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5062168254199084,0.672169925174994,0.9561873369042714,0.5182373083221676,0.672169925174994
deepcrack_0044,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7030997189815209,0.8256706417660441,0.9765805192501035,0.7151580770896492,0.8256706417660441
deepcrack_0045,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.8285916239618307,0.9062620796289138,0.8499184339314845,0.9706064996895053,0.9062620796289138
deepcrack_0046,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5725953788285868,0.7282170436684207,0.5785016286644951,0.9824820210215748,0.7282170436684207
deepcrack_0047,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.49725274725274726,0.6642201834862386,0.6433649289099526,0.6864728192161821,0.6642201834862385
deepcrack_0048,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.6212828704841484,0.7664089737759587,0.6318420394901275,0.9738058551617874,0.7664089737759588
deepcrack_0049,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.8161579892280072,0.8987742190589165,0.8375092114959469,0.9697098976109215,0.8987742190589166
deepcrack_0050,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.7307209594198857,0.8444122149705906,0.7397995199774107,0.9834834834834835,0.8444122149705906
deepcrack_0051,ablation_no_boundary_v2,deepcrack,oracle_gt_prompt_gt_alignment,0.5356600910470409,0.6976284584980237,0.5427985648385444,0.976036866359447,0.6976284584980239
