dataset,method,n,iou_mean,iou_std,dice_mean,dice_std,precision_mean,recall_mean,f1_mean
crackforest,text,24,0.43549130855822743,0.10200278862921382,0.599980122526408,0.09978377009072703,0.4525015561105799,0.9237098628691424,0.599980122526408
crackforest,box,24,0.3438725844625652,0.19221384088396623,0.47860654759439686,0.24425090986983175,0.35969665935038725,0.8132383808983598,0.47860654759439697
crackforest,point,24,0.11662036872328518,0.1612866228313118,0.17676744999497984,0.2322395457152404,0.13757614738594248,0.7760539806664165,0.17676744999497984
crackforest,ampf,24,0.4249381844704752,0.13116830853477215,0.5842921686171745,0.13879830716116368,0.5126217095754907,0.7921094224387506,0.5842921686171745
crackforest,ablation_no_detection,24,0.435182983021072,0.11778622088458232,0.5970483688907521,0.1206278837692124,0.5162031242865162,0.8072557094037878,0.5970483688907521
crackforest,ablation_no_stability,24,0.4381654650829916,0.14160785145654678,0.5956756611081707,0.14622364429441698,0.5144208223093185,0.8158485177493926,0.5956756611081707
crackforest,ablation_no_boundary,24,0.4215328535566239,0.128767163776343,0.5813071699314323,0.1367031802952444,0.508768341393406,0.7929514031414632,0.5813071699314323
crackforest,ablation_no_alignment,24,0.32853065169377144,0.21025928339769673,0.4549032016983041,0.26330044017008075,0.5053154966034015,0.6290976908402067,0.4549032016983041
crackforest,ablation_fusion_max,24,0.4276016094280724,0.13134746972862954,0.5874867143295256,0.13218149006688484,0.47570701669740406,0.8810523638170963,0.5874867143295256
crackforest,ablation_fusion_mean,24,0.45354261847064753,0.1214652692521549,0.6143102103334329,0.12281427134782799,0.506613474036938,0.864051040469076,0.6143102103334329
crackforest,box+text,24,0.42814862948345156,0.1366779118579803,0.5864983224932453,0.14386818146187288,0.507252365819813,0.8069436056681759,0.5864983224932454
crackforest,point+text,24,0.4257011484883562,0.1265857427985966,0.5865132405556366,0.12655742771249553,0.4948833665975696,0.8331352817002182,0.5865132405556365
crackforest,box+point,24,0.40753711494371586,0.1522261652986245,0.560700911683754,0.17997489519485807,0.49290795288013206,0.7718663274077401,0.5607009116837539
crackforest,unet,24,0.45761524770480233,0.08355253482808046,0.6235982866939752,0.07836238926844466,0.5464185962280345,0.7613697355513507,0.6235982866939752
crackforest,deeplabv3plus,24,0.43837683504506586,0.11634933696272702,0.6003543048315292,0.11891525178859132,0.5911356419684496,0.6656105814917898,0.6003543048315292
crackforest,yolov8seg,24,0.32046159468678553,0.13811721412238218,0.46847057234672196,0.17012823449186568,0.4785717891530228,0.5186947435739275,0.46847057234672196
deepcrack,unet,237,0.6426758778048793,0.183937455262675,0.7636589222517408,0.17134460912071184,0.852114484950445,0.7359136276513653,0.7636589222517408
deepcrack,deeplabv3plus,237,0.6298020947581872,0.1787641835820179,0.7554891631923906,0.16135445537259474,0.8463064582665749,0.7241878906759617,0.7554891631923906
deepcrack,yolov8seg,237,0.415495669873309,0.18561086207431923,0.5615522015036197,0.19870264693674405,0.610231608017839,0.5435559343234966,0.5615522015036196
deepcrack,ablation_fusion_max,237,0.6664458781731113,0.1659452953680212,0.7866176818663891,0.13484124099296563,0.7659834665603282,0.8693092227072344,0.7866176818663891
deepcrack,ablation_fusion_mean,237,0.6790906226378325,0.14820885909249304,0.7985457034558912,0.11881539027807879,0.8073211281427861,0.8364892582173267,0.798545703455891
deepcrack,ablation_no_alignment,237,0.441790421952725,0.3480517141119482,0.5205114922746189,0.3870677309842622,0.6487284047270497,0.5149645418001281,0.5205114922746189
deepcrack,ablation_no_boundary,237,0.6588594002346859,0.16732507490266182,0.7804920549119259,0.13943311854695992,0.801727308323618,0.8133529539542981,0.7804920549119259
deepcrack,ablation_no_detection,237,0.6702281431803472,0.15725750076492223,0.7907063396386639,0.1275733050913092,0.8176241658260395,0.8133235165216322,0.7907063396386639
deepcrack,ablation_no_stability,237,0.6693810770137039,0.15904376421338148,0.7897011890944513,0.1305065770583485,0.8147069937181217,0.8149046104851988,0.7897011890944513
deepcrack,ampf,237,0.6645485201221489,0.16330466362286994,0.785379804667702,0.13552612946933026,0.8117567761434378,0.8106401196557091,0.785379804667702
deepcrack,box,237,0.540847724319346,0.29357518454242293,0.6440934118251856,0.3088944802339109,0.6603369727289925,0.7516126350718463,0.6440934118251856
deepcrack,box+point,237,0.6202419499315645,0.22462348308609664,0.7359679433497536,0.21847008396673137,0.7919661140071265,0.7534725003859746,0.7359679433497536
deepcrack,box+text,237,0.6658017098701541,0.1627751244696766,0.7863760093024346,0.13507214840293522,0.8179965872107187,0.8033226837879996,0.7863760093024346
deepcrack,point+text,237,0.6522760132181887,0.16810841843018737,0.7755225831963188,0.1399225913916597,0.7900711758165839,0.8188508743999645,0.7755225831963188
deepcrack,point,237,0.31292527064713666,0.32777636231359814,0.3860072494961239,0.36784123308219213,0.3584242975488323,0.6362981842370751,0.3860072494961239
deepcrack,text,237,0.6658177737015801,0.1603734462071104,0.7866272525166709,0.13486798336313974,0.7441469571419717,0.8853509424218827,0.786627252516671
