image_id,method,dataset,iou,dice,precision,recall,f1
deepcrack_0003,point,deepcrack,0.042440699395141016,0.08142563777443941,0.042440902647408144,0.9998871713866636,0.08142563777443941
deepcrack_0004,point,deepcrack,0.035377950062706644,0.06833823351282306,0.03683960584114923,0.4713656387665198,0.06833823351282305
deepcrack_0005,point,deepcrack,0.0006521266574885878,0.0013034033309196234,0.0007116030836133623,0.007741935483870968,0.0013034033309196234
deepcrack_0006,point,deepcrack,0.00021641164040023424,0.00043272963307072586,0.00022912595188355012,0.0038848263254113347,0.00043272963307072586
deepcrack_0007,point,deepcrack,0.025255782168878794,0.049267280630110495,0.02525699765140723,0.99809813617345,0.049267280630110495
deepcrack_0008,point,deepcrack,0.8061805753346625,0.8926910037057478,0.8819130705717402,0.9037356321839081,0.8926910037057479
deepcrack_0009,point,deepcrack,0.030038432469808803,0.05832487705877761,0.03005486460830531,0.982124079915878,0.05832487705877761
deepcrack_0010,point,deepcrack,0.008486366165831942,0.016829907573458407,0.008759019277021933,0.21422300263388938,0.016829907573458407
deepcrack_0011,point,deepcrack,0.6957757920389926,0.8205988023952095,0.7423618634886241,0.9172690763052209,0.8205988023952097
deepcrack_0012,point,deepcrack,0.08197849007183204,0.15153441741044138,0.12500504296607093,0.1923578346163397,0.15153441741044135
deepcrack_0013,point,deepcrack,0.012409486829677826,0.024514758091684158,0.013900862068965517,0.10367502009205816,0.024514758091684158
deepcrack_0014,point,deepcrack,0.05491025871901074,0.10410413258410982,0.0727305253533165,0.1830781547082958,0.10410413258410983
deepcrack_0015,point,deepcrack,0.028610980241614174,0.05563032242742273,0.03130688254986571,0.24939160413709185,0.055630322427422725
deepcrack_0016,point,deepcrack,0.3522885849846497,0.5210257468654869,0.572384083437252,0.478125,0.5210257468654867
deepcrack_0017,point,deepcrack,0.0866824495849853,0.15953593364481075,0.11977298703346076,0.2388212180746562,0.15953593364481075
deepcrack_0018,point,deepcrack,0.07263560825319765,0.1354338932892332,0.1300206116650883,0.14131751029304918,0.1354338932892332
deepcrack_0019,point,deepcrack,0.009081966771320388,0.018000454017386196,0.01317358247170807,0.028410048895633113,0.018000454017386196
deepcrack_0020,point,deepcrack,0.002143172315256445,0.00427717790124751,0.0024356464014518363,0.017534811758638472,0.00427717790124751
deepcrack_0021,point,deepcrack,0.7334620108791016,0.8462394979248912,0.8807416772018541,0.8143385934151568,0.8462394979248912
deepcrack_0022,point,deepcrack,0.05401511513282613,0.10249400479616307,0.18441491197790819,0.07096838469713071,0.10249400479616307
deepcrack_0023,point,deepcrack,0.015868963214643438,0.031242145964233928,0.022404614019520853,0.05159312942979376,0.031242145964233928
deepcrack_0024,point,deepcrack,0.005703262601694205,0.011341839713118172,0.006677386490566964,0.03762362542361159,0.011341839713118173
deepcrack_0025,point,deepcrack,0.0027326526848731746,0.005450411288704608,0.0029728250957505014,0.032717784022480934,0.005450411288704608
deepcrack_0026,point,deepcrack,0.03156190990018883,0.06119246861924686,0.03787299158377965,0.15924276169265034,0.06119246861924687
deepcrack_0027,point,deepcrack,0.02979920900517189,0.057873823837870576,0.030471301913205788,0.5746553241419771,0.05787382383787058
deepcrack_0028,point,deepcrack,0.004371494556252062,0.008704935534203827,0.005125583708656848,0.02885587617640196,0.008704935534203827
deepcrack_0029,point,deepcrack,0.018188099722497745,0.03572640404548987,0.021617039313341104,0.10286794831389852,0.03572640404548987
deepcrack_0030,point,deepcrack,0.6180391754691826,0.7639359847884646,0.9990881962864722,0.6183879739366888,0.7639359847884647
deepcrack_0031,point,deepcrack,0.9239663305892147,0.9604807692307692,0.9927449811170741,0.9302477183833116,0.9604807692307692
deepcrack_0032,point,deepcrack,0.05005053323880349,0.09532976110097542,0.050069415102311825,0.9925216871073885,0.09532976110097542
deepcrack_0033,point,deepcrack,0.7720670391061453,0.8713745271122321,0.787785016286645,0.9748085449415558,0.8713745271122321
deepcrack_0034,point,deepcrack,0.6911552866609046,0.8173764906303237,0.7011544644161918,0.9797835409434348,0.8173764906303237
deepcrack_0035,point,deepcrack,0.4322307382008875,0.6035769609914097,0.43525946988930636,0.9841561423650976,0.6035769609914097
deepcrack_0036,point,deepcrack,0.005573000650654899,0.01108422888651325,0.016529619063601276,0.008337565600135433,0.01108422888651325
deepcrack_0037,point,deepcrack,0.04745659027810456,0.09061299669803904,0.08003650648783778,0.1044103944507713,0.09061299669803904
deepcrack_0038,point,deepcrack,0.07142474199169012,0.13332666157945433,0.1341506394119424,0.13251274400099466,0.13332666157945436
deepcrack_0039,point,deepcrack,0.06384289375123202,0.12002316155182398,0.7040760869565217,0.06560324091657171,0.12002316155182396
deepcrack_0040,point,deepcrack,0.6743924392439244,0.8055368902029297,0.7070063694267515,0.9359775140537164,0.8055368902029297
deepcrack_0041,point,deepcrack,0.4843828574621445,0.6526387111345329,0.7923407366785485,0.554816,0.6526387111345329
deepcrack_0042,point,deepcrack,0.08033205545116609,0.1487173412023176,0.09048614432962669,0.4172029366446116,0.14871734120231764
deepcrack_0043,point,deepcrack,0.001947665324493153,0.00388775859637814,0.002248054791967572,0.014366532678278993,0.00388775859637814
deepcrack_0044,point,deepcrack,0.13711416632969403,0.2411616535783079,0.14546429529001698,0.7048938934603725,0.24116165357830788
deepcrack_0045,point,deepcrack,0.7918401332223147,0.8838289962825279,0.8019902175746332,0.9842682674394535,0.8838289962825278
deepcrack_0046,point,deepcrack,0.00314675408774486,0.006273766176129429,0.0032250872380912878,0.11469666236400516,0.00627376617612943
deepcrack_0047,point,deepcrack,0.011615733036511313,0.02296471408495201,0.011787072243346007,0.4441635061104088,0.02296471408495201
deepcrack_0048,point,deepcrack,0.4759013980868286,0.6448959242178736,0.47669062096922793,0.9965331278890601,0.6448959242178737
deepcrack_0049,point,deepcrack,0.059019370460048425,0.11146041726207488,0.06547774502854158,0.37436006825938567,0.11146041726207487
